,user_id,grade_id,sex,height,weight,bmi,usa_routes
317,23837.0,53.0,0,180,58,17.901234567901234,5.12b
318,23907.0,53.0,0,172,58,19.60519199567334,5.12b
320,23985.0,55.0,0,228,73,14.04278239458295,5.12c
322,24115.0,62.0,0,182,68,20.528921627822726,5.13b
323,24130.0,53.0,0,180,68,20.98765432098765,5.12b
324,24147.0,64.0,0,177,63,20.109164033323754,5.13c
327,24307.0,49.0,0,165,63,23.140495867768596,5.11d
328,24318.0,68.0,0,185,73,21.32943754565376,5.14a
329,24362.0,33.0,0,165,58,21.30394857667585,5.9
331,24377.0,68.0,0,168,63,22.321428571428577,5.14a
332,24611.0,59.0,0,175,63,20.571428571428573,5.13a
333,24618.0,55.0,0,173,78,26.061679307694877,5.12c
334,24746.0,46.0,0,175,73,23.836734693877553,5.11b
335,24763.0,53.0,0,188,83,23.48347668628339,5.12b
337,24875.0,53.0,0,180,68,20.98765432098765,5.12b
338,24876.0,51.0,0,173,73,24.3910588392529,5.12a
340,24893.0,62.0,0,185,78,22.79035792549306,5.13b
341,24899.0,40.0,0,190,73,20.221606648199447,5.10c
342,24902.0,33.0,0,174,73,24.111507464658473,5.9
343,24910.0,53.0,0,169,63,22.058051188683873,5.12b
345,24954.0,40.0,0,173,68,22.720438370810918,5.10c
347,25240.0,44.0,0,168,58,20.549886621315196,5.11a
348,25264.0,51.0,0,178,68,21.461936624163616,5.12a
349,25343.0,51.0,0,165,63,23.140495867768596,5.12a
350,25344.0,64.0,0,175,73,23.836734693877553,5.13c
351,25373.0,33.0,0,180,78,24.074074074074073,5.9
352,25493.0,42.0,0,185,78,22.79035792549306,5.10d
353,25641.0,59.0,0,163,58,21.829952199932254,5.13a
354,25709.0,51.0,0,183,78,23.291229956104985,5.12a
355,25717.0,49.0,0,178,88,27.77427092538821,5.11d
356,25771.0,53.0,0,178,73,23.04002019946976,5.12b
357,25783.0,59.0,0,186,83,23.991212856977683,5.13a
358,25792.0,59.0,0,188,83,23.48347668628339,5.13a
359,25825.0,64.0,0,185,83,24.251278305332356,5.13c
360,25827.0,62.0,0,184,93,27.469281663516067,5.13b
361,25976.0,51.0,0,186,73,21.10070528384784,5.12a
363,26011.0,53.0,0,175,78,25.46938775510204,5.12b
364,26031.0,59.0,0,182,68,20.528921627822726,5.13a
365,26054.0,44.0,0,182,68,20.528921627822726,5.11a
366,26088.0,44.0,0,180,78,24.074074074074073,5.11a
367,26089.0,44.0,0,180,83,25.61728395061728,5.11a
368,26308.0,53.0,0,178,68,21.461936624163616,5.12b
369,26369.0,53.0,0,183,73,21.798202394816204,5.12b
370,26480.0,38.0,0,178,83,26.19618735008206,5.10b
371,26543.0,44.0,0,193,78,20.940159467368254,5.11a
372,26597.0,55.0,0,183,78,23.291229956104985,5.12c
373,26677.0,70.0,0,168,58,20.549886621315196,5.14b
374,26719.0,62.0,0,173,68,22.720438370810918,5.13b
375,26929.0,44.0,0,177,63,20.109164033323754,5.11a
376,26964.0,33.0,0,180,78,24.074074074074073,5.9
377,26983.0,62.0,0,175,68,22.20408163265306,5.13b
378,27017.0,44.0,0,181,78,23.808797045267237,5.11a
379,27066.0,36.0,0,172,83,28.055705786911847,5.10a
380,27070.0,51.0,0,168,63,22.321428571428577,5.12a
381,27216.0,38.0,0,182,73,22.03840115928028,5.10b
382,27230.0,46.0,0,183,78,23.291229956104985,5.11b
383,27234.0,62.0,0,181,73,22.282592106468055,5.13b
384,27263.0,33.0,0,168,58,20.549886621315196,5.9
385,27283.0,44.0,0,173,68,22.720438370810918,5.11a
386,27387.0,46.0,0,191,78,21.380992845590857,5.11b
387,27504.0,51.0,0,180,78,24.074074074074073,5.12a
388,27512.0,59.0,0,185,73,21.32943754565376,5.13a
389,27532.0,57.0,0,176,73,23.56663223140496,5.12d
390,27534.0,53.0,0,177,68,21.705129432793896,5.12b
391,27584.0,66.0,0,184,63,18.608223062381853,5.13d
392,27615.0,38.0,0,186,73,21.10070528384784,5.10b
393,27820.0,59.0,0,180,68,20.98765432098765,5.13a
394,27832.0,55.0,0,169,68,23.80869017191275,5.12c
395,27867.0,62.0,0,177,58,18.513198633853616,5.13b
396,27884.0,57.0,0,183,93,27.77031263997133,5.12d
397,27894.0,33.0,0,182,78,23.54788069073783,5.9
399,27897.0,72.0,0,160,48,18.749999999999996,5.14c
400,27927.0,51.0,0,170,63,21.79930795847751,5.12a
401,27979.0,51.0,0,167,53,19.003908350962746,5.12a
402,28051.0,59.0,0,165,68,24.977043158861342,5.13a
403,28367.0,36.0,0,170,63,21.79930795847751,5.10a
404,28452.0,53.0,0,180,68,20.98765432098765,5.12b
405,28476.0,62.0,0,182,73,22.03840115928028,5.13b
406,28606.0,51.0,0,192,68,18.446180555555557,5.12a
407,28772.0,44.0,0,175,73,23.836734693877553,5.11a
408,28819.0,49.0,0,180,83,25.61728395061728,5.11d
409,28851.0,59.0,0,162,63,24.005486968449926,5.13a
410,28914.0,64.0,0,185,78,22.79035792549306,5.13c
411,28932.0,51.0,0,175,68,22.20408163265306,5.12a
412,28942.0,46.0,0,180,63,19.444444444444443,5.11b
413,28975.0,44.0,0,183,73,21.798202394816204,5.11a
414,29046.0,59.0,0,175,68,22.20408163265306,5.13a
415,29248.0,49.0,0,175,73,23.836734693877553,5.11d
416,29275.0,72.0,0,180,73,22.530864197530864,5.14c
419,29372.0,33.0,0,175,68,22.20408163265306,5.9
420,29394.0,49.0,0,188,88,24.898143956541425,5.11d
421,29490.0,59.0,0,185,78,22.79035792549306,5.13a
422,29844.0,62.0,0,183,83,24.78425751739377,5.13b
423,29859.0,44.0,0,178,68,21.461936624163616,5.11a
424,29890.0,51.0,0,172,63,21.29529475392104,5.12a
425,29985.0,64.0,0,178,63,19.883853048857468,5.13c
426,29995.0,46.0,0,181,73,22.282592106468055,5.11b
428,30034.0,42.0,0,184,78,23.03875236294896,5.10d
429,30055.0,36.0,0,175,78,25.46938775510204,5.10a
430,30152.0,62.0,0,160,58,22.656249999999996,5.13b
431,30196.0,57.0,0,177,78,24.897060231734173,5.12d
432,30218.0,64.0,0,171,83,28.384802161348794,5.13c
433,30272.0,46.0,0,186,78,22.54595907041276,5.11b
435,30372.0,38.0,0,180,78,24.074074074074073,5.10b
436,30398.0,42.0,0,180,78,24.074074074074073,5.10d
437,30441.0,55.0,0,175,68,22.20408163265306,5.12c
438,30457.0,55.0,0,170,63,21.79930795847751,5.12c
439,30460.0,51.0,0,212,63,14.017443930224276,5.12a
